id	output
{"address":"0x977D798353a377a21CdF3CEbD82d05C382823647","chainId":100}	{"owner": "0xBA1BA1ba1BA1bA1bA1Ba1BA1ba1BA1bA1ba1ba1B", "endTime": "1", "startTime": "1766589105", "projectTokenRate": "0", "isProjectTokenSwapInBlocked": true}
{"address":"0x6e9758D6d5110bB97e0e15bA9fc2A8590C7C23bb","chainId":42161}	{"owner": "0xBA1BA1ba1BA1bA1bA1Ba1BA1ba1BA1bA1ba1ba1B", "endTime": "0", "startTime": "1766586931", "projectTokenRate": "1", "isProjectTokenSwapInBlocked": true}
{"address":"0x179C68302A24E4E59667b3DF7fb70C1c5DcEc5d3","chainId":1}	{"owner": "0xBA1BA1ba1BA1bA1bA1Ba1BA1ba1BA1bA1ba1ba1B", "endTime": "0", "startTime": "1766589443", "projectTokenRate": "1", "isProjectTokenSwapInBlocked": true}
{"address":"0xe53F02f690BA30c1652f9bE7B92370aC7bb2F533","chainId":8453}	{"owner": "0xBA1BA1ba1BA1bA1bA1Ba1BA1ba1BA1bA1ba1ba1B", "endTime": "1", "startTime": "1766586961", "projectTokenRate": "0", "isProjectTokenSwapInBlocked": true}
{"address":"0xd5191a47157F57cD486CC124883356221B766780","chainId":11155111}	{"owner": "0x5036388C540994Ed7b74b82F71175a441F85BdA1", "endTime": "0", "startTime": "1773175620", "projectTokenRate": "1", "isProjectTokenSwapInBlocked": true}
{"address":"0xE911e65bA9C12a15e984Ba01982031144963ea9d","chainId":11155111}	{"owner": "0x5036388C540994Ed7b74b82F71175a441F85BdA1", "endTime": "0", "startTime": "1773264180", "projectTokenRate": "1", "isProjectTokenSwapInBlocked": true}
{"address":"0xF2dc281d8a3b44D1d780Bac665BD9116D35a48dd","chainId":11155111}	{"owner": "0x5036388C540994Ed7b74b82F71175a441F85BdA1", "endTime": "0", "startTime": "1773760500", "projectTokenRate": "1", "isProjectTokenSwapInBlocked": true}
{"address":"0x398A13d3D44e4825F997cc7AEE4C7016878BA244","chainId":11155111}	{"owner": "0x6B808e314d7f758076922297bcD2eCd56aFe7B19", "endTime": "0", "startTime": "1773848820", "projectTokenRate": "1", "isProjectTokenSwapInBlocked": true}
{"address":"0x3b0451ED094a7F4Be60152147B89197B25BacCb5","chainId":11155111}	{"owner": "0x6B808e314d7f758076922297bcD2eCd56aFe7B19", "endTime": "0", "startTime": "1774453980", "projectTokenRate": "1", "isProjectTokenSwapInBlocked": true}
{"address":"0x113Cf84156Fb866c052411C7631B131fF0409589","chainId":11155111}	{"owner": "0x6B808e314d7f758076922297bcD2eCd56aFe7B19", "endTime": "1", "startTime": "1774422720", "projectTokenRate": "0", "isProjectTokenSwapInBlocked": true}
{"address":"0xc5b83A1c411ba7553f526e09dC5a833cf7194f3c","chainId":11155111}	{"owner": "0xBA1BA1ba1BA1bA1bA1Ba1BA1ba1BA1bA1ba1ba1B", "endTime": "1", "startTime": "1766586624", "projectTokenRate": "0", "isProjectTokenSwapInBlocked": true}
{"address":"0x19582482478EF606b3C441B56600C35bDc146598","chainId":11155111}	{"owner": "0x6B808e314d7f758076922297bcD2eCd56aFe7B19", "endTime": "0", "startTime": "1770296880", "projectTokenRate": "1", "isProjectTokenSwapInBlocked": true}
{"address":"0x8888F314Ec1e31Fd5e7606C7bD8e352f56b6D675","chainId":11155111}	{"owner": "0x6B808e314d7f758076922297bcD2eCd56aFe7B19", "endTime": "0", "startTime": "1771750740", "projectTokenRate": "1", "isProjectTokenSwapInBlocked": true}
{"address":"0x1dacD0c7E45877d7a220aF3ec8fe649048CC7666","chainId":11155111}	{"owner": "0x6B808e314d7f758076922297bcD2eCd56aFe7B19", "endTime": "0", "startTime": "1771753560", "projectTokenRate": "1", "isProjectTokenSwapInBlocked": true}
{"address":"0x524B0c17d09E2a7bDbcD3aA8F9E7C7d3B01A63A9","chainId":11155111}	{"owner": "0x6B808e314d7f758076922297bcD2eCd56aFe7B19", "endTime": "1", "startTime": "1772351160", "projectTokenRate": "0", "isProjectTokenSwapInBlocked": true}
{"address":"0x7cDc443f5c18E76846F2B3Fc20Aca5F72199d41d","chainId":11155111}	{"owner": "0x5036388C540994Ed7b74b82F71175a441F85BdA1", "endTime": "0", "startTime": "1772829420", "projectTokenRate": "1", "isProjectTokenSwapInBlocked": true}
{"address":"0x8Ef060e2c846A721C2c6b1F9c9465F5F8AC07D50","chainId":11155111}	{"owner": "0x5036388C540994Ed7b74b82F71175a441F85BdA1", "endTime": "0", "startTime": "1772824740", "projectTokenRate": "1", "isProjectTokenSwapInBlocked": true}
{"address":"0xed226fe66508d99BF7617286957C4BB174b78578","chainId":11155111}	{"owner": "0x6B808e314d7f758076922297bcD2eCd56aFe7B19", "endTime": "0", "startTime": "1772888100", "projectTokenRate": "1", "isProjectTokenSwapInBlocked": true}
