id	output
{"address":"0xdbf19344b5c981ead082830ec4c065b16f479b4f","chainId":10}	"BPT-TEST2-gauge"
{"address":"0xd59cf6c351902f8154a533b333358dfeeb60f23b","chainId":10}	"TEST-WEIGHTED-gauge"
{"address":"0x2d6743160ab3038af12c6a6b605c683bc9e4f0b6","chainId":10}	"BPT-LONG-gauge"
{"address":"0x00a2bd63529fd28d777155f5ed1726e9b9b781b4","chainId":10}	"BPT-ROAD-gauge"
{"address":"0xcf69061c06e57ae8f284e6d2ee0e889bd671ab10","chainId":10}	"BPT-8TRACK-gauge"
{"address":"0x47a063ae87c3c8c9bfbd81d55eefa6683543148a","chainId":10}	"BPT-LOVE-gauge"
{"address":"0x793faf861a78b07c0c8c0ed1450d3919f3473226","chainId":100}	"50bbagGNO-50bbagUSD-gauge"
{"address":"0x2165b84b2ae1fc01f481fa8c9c762b695c57bb21","chainId":100}	"50bbagGNO-50bbagWETH-gauge"
{"address":"0x266c15970aeeecc254117b1c366e26718ad02cee","chainId":100}	"bb-ag-USD-gauge"
{"address":"0xc04672a31c5ba04912bad418631f9b45e73619ef","chainId":100}	"agUSD-agWETH-agWBTC-gauge"
{"address":"0xc97fa65107ae7b94fb749cf05abb01005c14351e","chainId":8453}	"BPT-stabal3-gauge"
{"address":"0x7733650c7aaf2074fd1fcf98f70cbc09138e1ea5","chainId":8453}	"BPT-50STABAL3-50WETH-gauge"
{"address":"0x544bdce27174ea8ba829939bd3568efc6a6c9c53","chainId":8453}	"50BALD/50WETH-gauge"
{"address":"0x05257970368efd323aeffec95f7e28c806c2e37f","chainId":8453}	"BPT-USDbC-axlUSD-gauge"
{"address":"0xc8aae478acde1d5676c3fc6614cd25183c207f1a","chainId":43114}	"yyAVAX-bb-a-WAVAX-BPT-gauge"
{"address":"0x301a121d1d0d72c4005b354854a842a55d23251f","chainId":43114}	"sAVAX-bb-a-WAVAX-BPT-gauge"
{"address":"0x11884da90fb4221b3aa288a7741c51ec4fc43b2f","chainId":43114}	"bb-a-USD-gauge"
{"address":"0x4989f0c73bf38701e608147161f12111c64fd79d","chainId":43114}	"sAVAX-ankrAVAX-BPT-gauge"
{"address":"0xe98e468074baa30aaa7747bcd32b77a16ae3d9d8","chainId":43114}	"ggAVAX-bb-a-WAVAX-BPT-gauge"
{"address":"0x1280ea1ca9e8d6bb62ab1c859a7bd38f88ed07d8","chainId":43114}	"ankrAVAX-ankrETH-BPT-gauge"
{"address":"0x0c22ff3f93b5c9f13e41fa9d270680e97ac13b28","chainId":43114}	"BPT-gauge"
{"address":"0x7254c5933de13b3fd5235a7706fafa7b0a4a44f6","chainId":42161}	"MAI-BSP-gauge"
{"address":"0x4fd63966879300cafafbb35d157dc5229278ed23","chainId":42161}	"80GMX-20WETH-gauge"
{"address":"0xd997f35c9b1281b82c8928039d14cddab5e13c20","chainId":42161}	"B-staBAL-3-gauge"
{"address":"0x40ee510cb115e805a4adf56165f27db0433d0bea","chainId":42161}	"80MAGIC-20WETH-gauge"
{"address":"0xebac80efc4db9ed37c5a95e37ad4a8cd548de5bb","chainId":42161}	"B-80GNO-20WETH-gauge"
