id	output
{"address":"0xA0D9dbEF005A83694b58184371f75464eBBE24D3","chainId":11155111}	\N
{"address":"0x919094AdC27c2B779F70eD65D5d96F0b5331f660","chainId":11155111}	{"lastTimestamp": "576", "centerednessMargin": "10000000000000000", "dailyPriceShiftBase": "0", "lastVirtualBalances": ["1000000000000000000", "1000000000000000000"], "dailyPriceShiftExponent": "124649000000000000000000", "endFourthRootPriceRatio": "124649000000000000000000", "priceRatioUpdateEndTime": "0", "priceRatioUpdateStartTime": "0", "startFourthRootPriceRatio": "768", "currentFourthRootPriceRatio": "0"}
{"address":"0x78bE2bd092045315D30D2b91d98CAbb15333e021","chainId":11155111}	{"lastTimestamp": "576", "centerednessMargin": "10000000000000000", "dailyPriceShiftBase": "0", "lastVirtualBalances": ["1000000000000000000", "1000000000000000000"], "dailyPriceShiftExponent": "124649000000000000000000", "endFourthRootPriceRatio": "124649000000000000000000", "priceRatioUpdateEndTime": "0", "priceRatioUpdateStartTime": "0", "startFourthRootPriceRatio": "768", "currentFourthRootPriceRatio": "0"}
{"address":"0x43017c5BdAc043c3781Ab9c727c181Cb1A40Bbf3","chainId":11155111}	{"lastTimestamp": "576", "centerednessMargin": "3000000000000000", "dailyPriceShiftBase": "788269393638", "lastVirtualBalances": ["1000000000000000000", "2175004239818389333"], "dailyPriceShiftExponent": "749999999999966898", "endFourthRootPriceRatio": "749999999999966898", "priceRatioUpdateEndTime": "330000000000000000", "priceRatioUpdateStartTime": "999993983104557598", "startFourthRootPriceRatio": "768", "currentFourthRootPriceRatio": "1752451632"}
{"address":"0xcAf01fAE1F7b944b8a7Eae98ce587f1e5918C69a","chainId":11155111}	{"lastTimestamp": "576", "centerednessMargin": "3000000000000000", "dailyPriceShiftBase": "101767375717721", "lastVirtualBalances": ["1000000000000000000", "2175004239818389333"], "dailyPriceShiftExponent": "249999999999988966", "endFourthRootPriceRatio": "249999999999988966", "priceRatioUpdateEndTime": "500000000000000000", "priceRatioUpdateStartTime": "999997994368185866", "startFourthRootPriceRatio": "768", "currentFourthRootPriceRatio": "1752522612"}
{"address":"0xfc6303115Dd947605e7D9a16250791fBD88e9e03","chainId":11155111}	{"lastTimestamp": "576", "centerednessMargin": "3000000000000000", "dailyPriceShiftBase": "0", "lastVirtualBalances": ["1000000000000000000", "2175004239818389333"], "dailyPriceShiftExponent": "124649000000000000000000", "endFourthRootPriceRatio": "124649000000000000000000", "priceRatioUpdateEndTime": "0", "priceRatioUpdateStartTime": "0", "startFourthRootPriceRatio": "768", "currentFourthRootPriceRatio": "0"}
{"address":"0xF686E103AacDC4D9dcAea460685b6Bc5f5E70715","chainId":11155111}	{"lastTimestamp": "576", "centerednessMargin": "3000000000000000", "dailyPriceShiftBase": "76093596419129", "lastVirtualBalances": ["1000000000000000000", "2175004239818389333"], "dailyPriceShiftExponent": "249999999999988966", "endFourthRootPriceRatio": "249999999999988966", "priceRatioUpdateEndTime": "500000000000000000", "priceRatioUpdateStartTime": "999997994368185866", "startFourthRootPriceRatio": "768", "currentFourthRootPriceRatio": "1752523560"}
{"address":"0xEf346b55793EFBC7992C57DD82a9C4DEbF09c9B2","chainId":11155111}	{"lastTimestamp": "576", "centerednessMargin": "3000000000000000", "dailyPriceShiftBase": "0", "lastVirtualBalances": ["1000000000000000000", "2175004239818389333"], "dailyPriceShiftExponent": "124649000000000000000000", "endFourthRootPriceRatio": "124649000000000000000000", "priceRatioUpdateEndTime": "0", "priceRatioUpdateStartTime": "0", "startFourthRootPriceRatio": "768", "currentFourthRootPriceRatio": "0"}
{"address":"0x065c17A9b7aF38D37a7c23415ecf0CD3D6a108D6","chainId":11155111}	{"lastTimestamp": "576", "centerednessMargin": "3000000000000000", "dailyPriceShiftBase": "426073055474", "lastVirtualBalances": ["1000000000000000000", "2175004239818389333"], "dailyPriceShiftExponent": "249999999999988966", "endFourthRootPriceRatio": "249999999999988966", "priceRatioUpdateEndTime": "500000000000000000", "priceRatioUpdateStartTime": "999997994368185866", "startFourthRootPriceRatio": "768", "currentFourthRootPriceRatio": "1752524364"}
{"address":"0x6b4983ee28584997D9a9AE1D34e5C269c09CA1Dc","chainId":11155111}	{"lastTimestamp": "576", "centerednessMargin": "3000000000000000", "dailyPriceShiftBase": "0", "lastVirtualBalances": ["1000000000000000000", "2175004239818389333"], "dailyPriceShiftExponent": "124649000000000000000000", "endFourthRootPriceRatio": "124649000000000000000000", "priceRatioUpdateEndTime": "0", "priceRatioUpdateStartTime": "0", "startFourthRootPriceRatio": "768", "currentFourthRootPriceRatio": "0"}
