id	output
{"address":"0x82F2d4c5BEaC74a1684C1792CaB67b04c7e5f6f3","chainId":146}	"1000"
{"address":"0xC1c2D92B9B0f3963185A4E80De73e3DA20930b4E","chainId":146}	"100"
{"address":"0xD5AB187442998F1a62eA58133A03050691a0c280","chainId":146}	"200"
{"address":"0xf0db172592Fb5F091e1805EB0A774FA66bf254F4","chainId":146}	"200"
{"address":"0x43026d483f42fB35efe03c20B251142D022783f2","chainId":146}	"731"
{"address":"0x944D4AE892dE4BFd38742Cc8295d6D5164c5593C","chainId":146}	"100"
{"address":"0xdf02ee490D58666398161E9FA9b1eCb886D275fe","chainId":146}	"100"
{"address":"0x7373C5b9610d43466395617c428eCAA5b47ac5AA","chainId":11155111}	"1000"
{"address":"0x59fa488dda749cDD41772bb068BB23Ee955A6d7a","chainId":11155111}	"1000"
{"address":"0xc832a37c8252117604F1329B4a7fEd7076880B27","chainId":11155111}	"1000"
{"address":"0x5b17Fb19b8c44F126E87882e7bAA32153edcAf1D","chainId":11155111}	"1000"
{"address":"0x070810362Cb6fD4b44f87A225ab0C20aeb194A63","chainId":11155111}	"100"
{"address":"0xa43e2E37A559dC3eC0388488D143E420CF6D1045","chainId":11155111}	"10"
{"address":"0xCD9d4F614a7a241eBD63E702303aB0684962Cc9C","chainId":11155111}	"10"
{"address":"0x2C674088F3C3F8A7713fD881c9e4e5B7743d224d","chainId":11155111}	"10"
{"address":"0xEd7C4AF907642C963f695f1C1b03280bc3C99071","chainId":11155111}	"100"
{"address":"0xEA8FA1218aC82de739eB190c29fC76dfFF40F649","chainId":11155111}	"100"
{"address":"0x6d73Fe8168fcaA4E1c4A8ff92d4801A8c9cf53D9","chainId":11155111}	"100"
{"address":"0xCa8E8aF3a572A561002399B6e1fF32E2ED3131c4","chainId":11155111}	"100"
{"address":"0x1Cf9644Dd86f022A9207cD4157ADAA12AaaE9029","chainId":11155111}	"100"
{"address":"0xc88f39A55E36C8A0b93BefAce25B78B68BA361D9","chainId":11155111}	"100"
{"address":"0x352cC99A89090354289D8975E3098B33c20e314D","chainId":11155111}	"10"
{"address":"0x1D7699323e1B927C15AfE5781fD21a8552a8eA38","chainId":11155111}	"10"
{"address":"0x6AB8DC13155e87853BE4C2Bc6Cab93CACBc8B8fB","chainId":11155111}	"10"
{"address":"0xaE6CD4075C280E0E71217383caA2677fe23c8a79","chainId":11155111}	"10"
{"address":"0xAc59C81aa3189aaCa73bB4504D03F2705234b201","chainId":11155111}	"33"
{"address":"0x3E6F0BE858e471f35fe321fbBF7A180f85B155Ce","chainId":11155111}	"1"
{"address":"0x3c6A3F8Fd9F77aFcF595A03c4E01BBeFbaB3c5e3","chainId":11155111}	"333"
{"address":"0xc7512572BCA89b90D604F88557d270716dCfEa78","chainId":11155111}	"1000"
{"address":"0xe56B62fC3D469f3AD9CA510482d9718BD81f3B91","chainId":11155111}	"10"
{"address":"0x6d0A004984430622C27bE65DdF00cd8c9c926BAF","chainId":11155111}	"100"
{"address":"0x594819a549F4eb7E114EE7c17cFdCD72D2662AF9","chainId":11155111}	"33"
{"address":"0xb69594e5F102d0B78E6ffd4B5BFC38813De754E0","chainId":11155111}	"33"
{"address":"0x6583d79d1E7f086c45968D926e5857Aec6A35eF3","chainId":11155111}	"33"
{"address":"0xc801040fBcB3485E913a973ff68BD1425D2124dB","chainId":11155111}	"33"
{"address":"0x14DD88A9c3Cf8A9AdD694556CDaBAa5309a31b40","chainId":11155111}	"33"
