id	output
{"chainId":146,"hookAddress":"0x8A83Aa9bb7C4Cff14ae0aEcec0fB9ef234901c0C","poolAddress":"0xfaD38CBbE650F896dC93626Ff8d4AEF9648006B7"}	{"amp": "1000", "maxSurgeFeePercentage": "950000000000000000", "surgeThresholdPercentage": "300000000000000000"}
{"chainId":11155111,"hookAddress":"0x30CE53fA38a1399F0CA158b5c38362c80E423bA9","poolAddress":"0xD8D88e186AA7cfa3929dF79ab5a5f02316e7d77B"}	{"amp": "1000", "maxSurgeFeePercentage": "950000000000000000", "surgeThresholdPercentage": "300000000000000000"}
{"chainId":11155111,"hookAddress":"0x30CE53fA38a1399F0CA158b5c38362c80E423bA9","poolAddress":"0x3c24fB4B23543Cd7D53576E275693cF44dDABB38"}	{"amp": "100", "maxSurgeFeePercentage": "950000000000000000", "surgeThresholdPercentage": "300000000000000000"}
{"chainId":11155111,"hookAddress":"0x30CE53fA38a1399F0CA158b5c38362c80E423bA9","poolAddress":"0xfb895366132BdBDb99e1BaD3CB1eE63DC42d0e66"}	{"amp": "10", "maxSurgeFeePercentage": "950000000000000000", "surgeThresholdPercentage": "300000000000000000"}
{"chainId":11155111,"hookAddress":"0x30CE53fA38a1399F0CA158b5c38362c80E423bA9","poolAddress":"0x7a7E80a5D622E1065F98dcD873f8c0C3D429aEbA"}	{"amp": "100", "maxSurgeFeePercentage": "950000000000000000", "surgeThresholdPercentage": "300000000000000000"}
{"chainId":11155111,"hookAddress":"0x30CE53fA38a1399F0CA158b5c38362c80E423bA9","poolAddress":"0xcFCe24140322149a15e942DE0046e0424E22a8e0"}	{"amp": "100", "maxSurgeFeePercentage": "950000000000000000", "surgeThresholdPercentage": "300000000000000000"}
{"chainId":11155111,"hookAddress":"0x30CE53fA38a1399F0CA158b5c38362c80E423bA9","poolAddress":"0xbda74F2BbF13620cFdbf11065487235c848f2746"}	{"amp": "10", "maxSurgeFeePercentage": "950000000000000000", "surgeThresholdPercentage": "300000000000000000"}
{"chainId":11155111,"hookAddress":"0x30CE53fA38a1399F0CA158b5c38362c80E423bA9","poolAddress":"0x64bB1613459c6790cd6C94272DC9D09384D955C9"}	{"amp": "100", "maxSurgeFeePercentage": "950000000000000000", "surgeThresholdPercentage": "300000000000000000"}
{"chainId":11155111,"hookAddress":"0x30CE53fA38a1399F0CA158b5c38362c80E423bA9","poolAddress":"0xeafDFE26C28acB3CfbE62d707da41c4E244D1866"}	{"amp": "100", "maxSurgeFeePercentage": "950000000000000000", "surgeThresholdPercentage": "300000000000000000"}
{"chainId":11155111,"hookAddress":"0x7dfca838fD5fCd70f876431D41CaA3E3E2ea1520","poolAddress":"0x781589d386e62ba7eB5D8382eE4DC86d8C64f882"}	{"amp": "1000", "maxSurgeFeePercentage": "950000000000000000", "surgeThresholdPercentage": "300000000000000000"}
{"chainId":11155111,"hookAddress":"0x7dfca838fD5fCd70f876431D41CaA3E3E2ea1520","poolAddress":"0x41B1371Be4A2Ea67F96A21960b04b8AA1fe1e9d9"}	{"amp": "100", "maxSurgeFeePercentage": "950000000000000000", "surgeThresholdPercentage": "300000000000000000"}
{"chainId":11155111,"hookAddress":"0x7dfca838fD5fCd70f876431D41CaA3E3E2ea1520","poolAddress":"0xC0346cB59c65d22Ac04291861ecC77e3d7931E66"}	{"amp": "100", "maxSurgeFeePercentage": "950000000000000000", "surgeThresholdPercentage": "300000000000000000"}
{"chainId":11155111,"hookAddress":"0x7dfca838fD5fCd70f876431D41CaA3E3E2ea1520","poolAddress":"0x4c36C98f8626E01Aee80BE50f3E53D9bC395670c"}	{"amp": "1000", "maxSurgeFeePercentage": "950000000000000000", "surgeThresholdPercentage": "300000000000000000"}
{"chainId":11155111,"hookAddress":"0x7dfca838fD5fCd70f876431D41CaA3E3E2ea1520","poolAddress":"0x3448Aa3E21cC2b81A19D30646BD31c09641f346c"}	{"amp": "100", "maxSurgeFeePercentage": "950000000000000000", "surgeThresholdPercentage": "300000000000000000"}
{"chainId":11155111,"hookAddress":"0x7dfca838fD5fCd70f876431D41CaA3E3E2ea1520","poolAddress":"0x1bD5998DDa5a01c82E50cEF8d69f06c3fDAa3315"}	{"amp": "100", "maxSurgeFeePercentage": "950000000000000000", "surgeThresholdPercentage": "300000000000000000"}
{"chainId":11155111,"hookAddress":"0x7dfca838fD5fCd70f876431D41CaA3E3E2ea1520","poolAddress":"0x08FfF27979386E4448bb1991f759C36689976968"}	{"amp": "100", "maxSurgeFeePercentage": "950000000000000000", "surgeThresholdPercentage": "300000000000000000"}
