id	output
{"address":"0xb286b923A4Ed32eF1Eae425e2b2753F07A517708","chainId":42161}	{"name": "Balancer 80 BAL 20 WETH", "symbol": "B-80BAL-20WETH", "decimals": 18}
{"address":"0xcC65A812ce382aB909a11E434dbf75B34f1cc59D","chainId":42161}	{"name": "Balancer 60 BAL 40 WETH", "symbol": "B-60BAL-40WETH", "decimals": 18}
{"address":"0x64541216bAFFFEec8ea535BB71Fbc927831d0595","chainId":42161}	{"name": "Balancer 33 WETH 33 WBTC 33 USDC", "symbol": "B-33WETH-33WBTC-33USDC", "decimals": 18}
{"address":"0xC720d790Dc6062a7f19501Dc8aBbFb3041C52eA6","chainId":42161}	{"name": "Balancer 80 CRV 20 WETH", "symbol": "B-80CRV-20WETH", "decimals": 18}
{"address":"0x53c7940728EF895069A4F5A6B30E60c6652C910c","chainId":42161}	{"name": "Balancer 80 CREAM 20 WETH", "symbol": "B-80CREAM-20WETH", "decimals": 18}
{"address":"0x0c2B3E31639bbC8c7eE3F1dCf86aDBE658377e50","chainId":42161}	{"name": "Balancer 80 MKR 20 WETH", "symbol": "B-80MKR-20WETH", "decimals": 18}
{"address":"0x651e00FfD5eCfA7F3d4F33d62eDe0a97Cf62EdE2","chainId":42161}	{"name": "Balancer 80 LINK 20 WETH", "symbol": "B-80LINK-20WETH", "decimals": 18}
{"address":"0xD2C1BFE1C24b3AB2590325e91e3dE28359e68158","chainId":42161}	{"name": "Balancer 80 DXD 20 WETH", "symbol": "B-80DXD-20WETH", "decimals": 18}
{"address":"0x4a3a22A3e7fee0FfBB66f1C28BfAC50f75546Fc7","chainId":42161}	{"name": "Balancer 80 GNO 20 WETH", "symbol": "B-80GNO-20WETH", "decimals": 18}
{"address":"0xbea626026794c6C09971316679Ac5D6922ADFE6a","chainId":42161}	{"name": "Balancer 80 GRT 20 WETH", "symbol": "B-80GRT-20WETH", "decimals": 18}
{"address":"0xd3DE2b06Af1A19B9e4cF2fC7Fd54f7eD378FEd4f","chainId":42161}	{"name": "Balancer 80 SUSHI 20 WETH", "symbol": "B-80SUSHI-20WETH", "decimals": 18}
{"address":"0xf13DF9563dc9268A773ad852fFF80f5e913EBAF6","chainId":42161}	{"name": "Balancer 80 UNI 20 WETH", "symbol": "B-80UNI-20WETH", "decimals": 18}
{"address":"0x96A6AD4531b853D874Ab7507fA1203DDCf104771","chainId":42161}	{"name": "Balancer 80 YFI 20 WETH", "symbol": "B-80YFI-20WETH", "decimals": 18}
{"address":"0xc736821A9CB04561417da3dD4e19Ba1e0436B38c","chainId":42161}	{"name": "Balancer 80 RGT 20 WETH", "symbol": "B-80RGT-20WETH", "decimals": 18}
{"address":"0xA6625F741400f90D31e39a17B0D429a92e347A60","chainId":42161}	{"name": "Balancer 80 COMP 20 WETH", "symbol": "B-80COMP-20WETH", "decimals": 18}
{"address":"0x8CEA55571c2F0AE6B215aAad8a5dff4d9e29DD2F","chainId":42161}	{"name": "Balancer 50 BAL 50 USDC", "symbol": "B-50BAL-50USDC", "decimals": 18}
{"address":"0xB5B77F1AD2B520df01612399258E7787aF63025D","chainId":42161}	{"name": "MCB Weighted Pool", "symbol": "MWP", "decimals": 18}
{"address":"0x040d1edc9569d4bab2d15287dc5a4f10f56a56b8","chainId":42161}	{"name": "Balancer", "symbol": "BAL", "decimals": 18}
{"address":"0x2f2a2543b76a4166549f7aab2e75bef0aefc5b0f","chainId":42161}	{"name": "Wrapped BTC", "symbol": "WBTC", "decimals": 8}
{"address":"0x11cdb42b0eb46d95f990bedd4695a6e3fa034978","chainId":42161}	{"name": "Curve DAO Token", "symbol": "CRV", "decimals": 18}
{"address":"0x82af49447d8a07e3bd95bd0d56f35241523fbab1","chainId":42161}	{"name": "Wrapped Ether", "symbol": "WETH", "decimals": 18}
{"address":"0x2e9a6df78e42a30712c10a9dc4b1c8656f8f2879","chainId":42161}	{"name": "4d616b6572000000000000000000000000000000000000000000000000000000", "symbol": "4d4b520000000000000000000000000000000000000000000000000000000000", "decimals": 18}
{"address":"0x23a941036ae778ac51ab04cea08ed6e2fe103614","chainId":42161}	{"name": "Graph Token", "symbol": "GRT", "decimals": 18}
{"address":"0x354a6da3fcde098f8389cad84b0182725c6c91de","chainId":42161}	{"name": "Compound", "symbol": "COMP", "decimals": 18}
{"address":"0x4e352cf164e64adcbad318c3a1e222e9eba4ce42","chainId":42161}	{"name": "MUX Protocol", "symbol": "MCB", "decimals": 18}
{"address":"0xff970a61a04b1ca14834a43f5de4533ebddb5cc8","chainId":42161}	{"name": "USD Coin (Arb1)", "symbol": "USDC", "decimals": 6}
{"address":"0xf4d48ce3ee1ac3651998971541badbb9a14d7234","chainId":42161}	{"name": "Cream", "symbol": "CREAM", "decimals": 18}
{"address":"0xf97f4df75117a78c1a5a0dbb814af92458539fb4","chainId":42161}	{"name": "ChainLink Token", "symbol": "LINK", "decimals": 18}
{"address":"0xc3ae0333f0f34aa734d5493276223d95b8f9cb37","chainId":42161}	{"name": "DXdao", "symbol": "DXD", "decimals": 18}
{"address":"0xa0b862f60edef4452f25b4160f177db44deb6cf1","chainId":42161}	{"name": "Gnosis Token", "symbol": "GNO", "decimals": 18}
{"address":"0xd4d42f0b6def4ce0383636770ef773390d85c61a","chainId":42161}	{"name": "SushiToken", "symbol": "SUSHI", "decimals": 18}
{"address":"0xfa7f8980b0f1e64a2062791cc3b0871572f1f7f0","chainId":42161}	{"name": "Uniswap", "symbol": "UNI", "decimals": 18}
{"address":"0x82e3a8f066a6989666b031d916c43672085b1582","chainId":42161}	{"name": "yearn.finance", "symbol": "YFI", "decimals": 18}
{"address":"0xef888bca6ab6b1d26dbec977c455388ecd794794","chainId":42161}	{"name": "Rari Governance Token", "symbol": "RGT", "decimals": 18}
{"address":"0xfe8b128ba8c78aabc59d4c64cee7ff28e9379921","chainId":10}	{"name": "Balancer", "symbol": "BAL", "decimals": 18}
{"address":"0x11234db1ed4f9c6191028a136f45f6c9f401241f","chainId":10}	{"name": "BeetsGaugeTest", "symbol": "BGT", "decimals": 18}
{"address":"0x9c07adc41324613a73f00bea5cd92860d5b581ad","chainId":10}	{"name": "BeetsGaugeTest2", "symbol": "BGT2", "decimals": 18}
{"address":"0x97513e975a7fa9072c72c92d8000b0db90b163c5","chainId":10}	{"name": "BeethovenxToken", "symbol": "BEETS", "decimals": 18}
{"address":"0x7aD4f5536D903aea6F973f36e18f5B4610A7583E","chainId":10}	{"name": "Test pool", "symbol": "TEST-WEIGHTED", "decimals": 18}
{"address":"0xDCd803c0Ad8778662C0A53b4dAED81aB9EF06834","chainId":10}	{"name": "Test Pool 2", "symbol": "BPT-TEST2", "decimals": 18}
{"address":"0x6F998fefA9c3fd5c81B5A9966e88986F21765c82","chainId":10}	{"name": "Positivity", "symbol": "BPT-OPUSDC", "decimals": 18}
{"address":"0x39965c9dAb5448482Cf7e002F583c812Ceb53046","chainId":10}	{"name": "Happy Road", "symbol": "BPT-ROAD", "decimals": 18}
{"address":"0x5028497af0c9a54ea8C6D42a054c0341B9fc6168","chainId":10}	{"name": "Lennon's Long", "symbol": "BPT-LONG", "decimals": 18}
{"address":"0x7Ef99013E446dDCe2486b8E04735b7019a115e6F","chainId":10}	{"name": "Optimistic 8-Track", "symbol": "BPT-8TRACK", "decimals": 18}
{"address":"0xd6E5824b54f64CE6f1161210bc17eeBfFC77E031","chainId":10}	{"name": "All You Need Is Love", "symbol": "BPT-LOVE", "decimals": 18}
{"address":"0xBCCd9d4B953AdA653b7C464665d7263E5e078A98","chainId":10}	{"name": "Operation Velodrome", "symbol": "BPT-VELO", "decimals": 18}
{"address":"0x32F0DC9E2D890BAC95106a65eB82db70Bc58BaDB","chainId":10}	{"name": "Op-Beet van Tempo", "symbol": "BPT-OP", "decimals": 18}
{"address":"0x76f20DE6f13523D3870e93bd37A2028d13666833","chainId":10}	{"name": "Kinetic Synthetic", "symbol": "BPT-SYNTH", "decimals": 18}
{"address":"0x61D8c210AADCf9FE432f16a8a33Ca92931521565","chainId":10}	{"name": "With a Little Help from My Friends", "symbol": "BPT-FRENS", "decimals": 18}
{"address":"0x6a06E2a5cb13fcd54b28F3f90144e64952a3A0b4","chainId":10}	{"name": "SEXY-USDs", "symbol": "BPT-SEXYS", "decimals": 18}
{"address":"0xF1b3256505159F6004Da0B16E985EE46e6FfEeA8","chainId":10}	{"name": "Optimism symphony", "symbol": "BPT-OPUSDC", "decimals": 18}
{"address":"0x217d47011b23bb961eb6d93ca9945b7501a5bb11","chainId":10}	{"name": "Thales DAO Token", "symbol": "THALES", "decimals": 18}
{"address":"0x4200000000000000000000000000000000000006","chainId":10}	{"name": "Wrapped Ether", "symbol": "WETH", "decimals": 18}
{"address":"0x4200000000000000000000000000000000000042","chainId":10}	{"name": "Optimism", "symbol": "OP", "decimals": 18}
{"address":"0x3c8b650257cfb5f272f799f5e2b4e65093a11a05","chainId":10}	{"name": "Velodrome", "symbol": "VELO", "decimals": 18}
{"address":"0x8c6f28f2f1a3c87f0f938b96d27520d9751ec8d9","chainId":10}	{"name": "Synth sUSD", "symbol": "sUSD", "decimals": 18}
{"address":"0x50c5725949a6f0c72e6c4a641f24049a917db0cb","chainId":10}	{"name": "Lyra Token", "symbol": "LYRA", "decimals": 18}
{"address":"0xda10009cbd5d07dd0cecc66161fc93d7c9000da1","chainId":10}	{"name": "Dai Stablecoin", "symbol": "DAI", "decimals": 18}
{"address":"0x68f180fcce6836688e9084f035309e29bf0a2095","chainId":10}	{"name": "Wrapped BTC", "symbol": "WBTC", "decimals": 8}
{"address":"0x7f5c764cbc14f9669b88837ca1490cca17c31607","chainId":10}	{"name": "USD Coin", "symbol": "USDC", "decimals": 6}
{"address":"0x94b008aa00579c1307b0ef2c499ad98a8ce58e58","chainId":10}	{"name": "Tether USD", "symbol": "USDT", "decimals": 6}
{"address":"0x61baadcf22d2565b0f471b291c475db5555e0b76","chainId":10}	{"name": "Aelin Token", "symbol": "AELIN", "decimals": 18}
{"address":"0x8700daec35af8ff88c16bdf0418774cb3d7599b4","chainId":10}	{"name": "Synthetix Network Token", "symbol": "SNX", "decimals": 18}
