id	output
{"address":"0xE41C7F1bC019dd966072726A7ea3b617f3a475B3","chainId":146}	["800000000000000000", "200000000000000000"]
{"address":"0x8DcEa83145135D23f3B79ac926CEb3835730c087","chainId":146}	["500000000000000000", "500000000000000000"]
{"address":"0xF48c8841d697587570b6b1F872EA82Fceb1E6e66","chainId":146}	["500000000000000000", "500000000000000000"]
{"address":"0x3f3b3A4E0cA16e7cC6be4E032325Fe45b25823e9","chainId":146}	["500000000000000000", "500000000000000000"]
{"address":"0x2Bf8a520c5A9405c94F2E55a1457a56D46051D66","chainId":146}	["250000000000000000", "250000000000000000", "500000000000000000"]
{"address":"0xb834FaAF3329eD60458d484F8f8e8E6683ACD61d","chainId":146}	["250000000000000000", "250000000000000000", "500000000000000000"]
{"address":"0x9C9Afa14267e1866677336487Ef1EaDe072c8B50","chainId":146}	["500000000000000000", "500000000000000000"]
{"address":"0xFc253B433B7225AC7736EAbDF4115F7252aECb91","chainId":11155111}	["800000000000000000", "200000000000000000"]
{"address":"0xB790fa0BA5d563b814b0CA1716c414F6B99937B2","chainId":11155111}	["500000000000000000", "500000000000000000"]
{"address":"0x1Ee24efd3c5525e24429Da3cEa1d775277970B5c","chainId":11155111}	["500000000000000000", "500000000000000000"]
{"address":"0x693CC6a39BBf35464F53D6A5dbF7d6C2fA93741c","chainId":11155111}	["500000000000000000", "500000000000000000"]
{"address":"0x86FDe41Ff01B35846eB2F27868FB2938AdDd44C4","chainId":11155111}	["500000000000000000", "500000000000000000"]
{"address":"0xBFdbDb4d5b8E00badE87CF12ed58E6152F25AC3e","chainId":11155111}	["500000000000000000", "500000000000000000"]
{"address":"0xb1769fEe9845E2762539c9D4B6A3793388152930","chainId":11155111}	["500000000000000000", "500000000000000000"]
{"address":"0x3E099b16bEEae7cFcf8a0921941394F1a9B00e0E","chainId":11155111}	["500000000000000000", "500000000000000000"]
{"address":"0x445A49D1Ad280B68026629fE029Ed0Fbef549a94","chainId":11155111}	["500000000000000000", "500000000000000000"]
{"address":"0xe5760B5BFDD5429202043db9a1d7592A9049dC4c","chainId":11155111}	["200000000000000000", "800000000000000000"]
{"address":"0x9518A6D0b9Fb5bF07c9dbd48c8CC54546a31b5F8","chainId":11155111}	["500000000000000000", "500000000000000000"]
{"address":"0xED5F04D8657F38174d78ad9626f1f9c2b6A82661","chainId":11155111}	["500000000000000000", "500000000000000000"]
{"address":"0x9C781a9Dcd12110F92B8EB1Af21D441D58F5E8Da","chainId":11155111}	["500000000000000000", "500000000000000000"]
{"address":"0x5bDE335E3dAb0BfD4B7b40E07e4c2464ECAa064E","chainId":11155111}	["200000000000000000", "800000000000000000"]
{"address":"0x4C4E962b797Dc631F6e022308f07b1b4438BEB4D","chainId":11155111}	["310000000000000000", "690000000000000000"]
{"address":"0x9Eb2305d432f1035D95BB3A791803b20C55D1ac3","chainId":11155111}	["500000000000000000", "500000000000000000"]
{"address":"0xdAc697c0ab82A5C6d0b6EAFd52A8fF63fAc29C60","chainId":11155111}	["500000000000000000", "500000000000000000"]
{"address":"0xd50b24566109fCdC4BC12Eb73D3e2e6c99579bca","chainId":11155111}	["500000000000000000", "500000000000000000"]
{"address":"0x52FaBa947F53D01784Ee7F1cdB4b4C0382E51267","chainId":11155111}	["500000000000000000", "500000000000000000"]
{"address":"0x1768a4454850B561F4796294De162B57CE6ad339","chainId":11155111}	["900000000000000000", "100000000000000000"]
{"address":"0x268F89A2B850B5Eb802b455e4e7D670Cb0B0e503","chainId":11155111}	["500000000000000000", "500000000000000000"]
{"address":"0x368fF0a72717F692233701BFFB8c734e529275Eb","chainId":11155111}	["500000000000000000", "500000000000000000"]
{"address":"0x31D3dEf930e8dE3245f53EfDB728a6E2E17C6643","chainId":11155111}	["500000000000000000", "500000000000000000"]
{"address":"0x29AfbBDC101E797f16FfCba0E8dd1C1785F22296","chainId":11155111}	["800000000000000000", "200000000000000000"]
{"address":"0x4704bFb5b6D0eeAA493b1B3C2c7bd721a96Ee729","chainId":11155111}	["500000000000000000", "500000000000000000"]
{"address":"0x444fdba7196b0151C6dF966925f0C1E80e950396","chainId":11155111}	["550000000000000000", "450000000000000000"]
{"address":"0xa710ebfaA3FA6996c44E4dC88820530D938a4188","chainId":11155111}	["500000000000000000", "500000000000000000"]
{"address":"0x58dDDFd765a2449a820251D981e7a10f4De7F472","chainId":11155111}	["500000000000000000", "500000000000000000"]
{"address":"0x61f529bc825E9Cf76ec2Ba01149cADcA4F7A0AbD","chainId":11155111}	["500000000000000000", "500000000000000000"]
{"address":"0x16761a30c1f834cB8b0CB5827474ef67A66fee85","chainId":11155111}	["500000000000000000", "500000000000000000"]
{"address":"0x8F95bA78c00dfd091B05a4b2C7FBB7a74EF68A5c","chainId":11155111}	["500000000000000000", "500000000000000000"]
{"address":"0xB7d68E789F3408E2BABB5D10EDd5453E3f2E6A09","chainId":11155111}	["670000000000000000", "330000000000000000"]
{"address":"0x824611f67dDa858f938daB9DCe51D592dE0fB355","chainId":11155111}	["333500000000000000", "333500000000000000", "333000000000000000"]
{"address":"0x4e9d3a8E801f87c769c14bEB49D696957cc2aD48","chainId":11155111}	["990000000000000000", "10000000000000000"]
{"address":"0xb20f2C13a4D70b6C8f4da3dAB80E5297F81a8B9e","chainId":11155111}	["200000000000000000", "800000000000000000"]
{"address":"0x233736Ab103d5330279422F21A8938C6faa2BF83","chainId":11155111}	["800000000000000000", "200000000000000000"]
{"address":"0x395c83c812E4222AbA083D3f3Dc7c82E30d61124","chainId":11155111}	["500000000000000000", "500000000000000000"]
{"address":"0xECBa18aB010Ba018d612B34E306613144545ca1E","chainId":11155111}	["500000000000000000", "500000000000000000"]
{"address":"0x1F6c054B6a7cD2Cb0EF5A255EB484D7BD5E5CeE4","chainId":11155111}	["750000000000000000", "250000000000000000"]
{"address":"0x9B990393362127aB2475Bc1536fE895F82A6bF4A","chainId":11155111}	["800000000000000000", "200000000000000000"]
{"address":"0xdDc1832013c5E43D4aB68d8922aCB532DE06071c","chainId":11155111}	["200000000000000000", "800000000000000000"]
{"address":"0x19dA002cCF8874c6f765A2973737D132cDb8a1D6","chainId":11155111}	["500000000000000000", "500000000000000000"]
{"address":"0xaF4dD6e7A6dddB6Df29b5425Aeb4Cf2c499aEDbC","chainId":11155111}	["500000000000000000", "500000000000000000"]
{"address":"0x102d24483B4c594EEa706f2F00dEe53a4ec4C2BA","chainId":11155111}	["500000000000000000", "500000000000000000"]
{"address":"0x5C878890B15De5Bf24e14f82568b10Ae72fCbC07","chainId":11155111}	["500000000000000000", "500000000000000000"]
{"address":"0x9014e8FEF82f35e834D2c00aC9a3dB8d5bFca33c","chainId":11155111}	["500000000000000000", "500000000000000000"]
{"address":"0x33A5046695faf0fDaE0481fBbdE8ef4c2fD63bc6","chainId":11155111}	["200000000000000000", "600000000000000000", "200000000000000000"]
{"address":"0xCD12F04989D68Dbdbfa785012D5296fE24bCffC4","chainId":11155111}	["333500000000000000", "333500000000000000", "333000000000000000"]
{"address":"0x60ce8231C47f5d388e1C4ba008a9215768257B73","chainId":11155111}	["10000000000000000", "990000000000000000"]
{"address":"0x88DA446860795F7E250bb882f26909F4bc43Ccda","chainId":11155111}	["730000000000000000", "270000000000000000"]
{"address":"0x3bF1dbE3C12235B04f13FD15F38660CB5AE36028","chainId":11155111}	["200000000000000000", "800000000000000000"]
{"address":"0xCA6cD38fC65399F84E29E9f8E0a8Fe766dB16df9","chainId":11155111}	["200000000000000000", "800000000000000000"]
{"address":"0xa0A69838f7e1aa898848589CbC35F343c73C500d","chainId":11155111}	["200000000000000000", "800000000000000000"]
{"address":"0xfAe1451971B3D0B71a9106A560551A751f4259EC","chainId":11155111}	["800000000000000000", "200000000000000000"]
{"address":"0xC93DC48973f2B80Dfa764B667c39D54Cf3EE6DC5","chainId":11155111}	["200000000000000000", "800000000000000000"]
