id	output
{"address":"0x7aD4f5536D903aea6F973f36e18f5B4610A7583E","chainId":10}	\N
{"address":"0x39965c9dAb5448482Cf7e002F583c812Ceb53046","chainId":10}	\N
{"address":"0x5028497af0c9a54ea8C6D42a054c0341B9fc6168","chainId":10}	\N
{"address":"0x7Ef99013E446dDCe2486b8E04735b7019a115e6F","chainId":10}	\N
{"address":"0xd6E5824b54f64CE6f1161210bc17eeBfFC77E031","chainId":10}	\N
{"address":"0x76f20DE6f13523D3870e93bd37A2028d13666833","chainId":10}	\N
{"address":"0x61D8c210AADCf9FE432f16a8a33Ca92931521565","chainId":10}	\N
{"address":"0x707B7d4a1bAe449d546DCAb869256591bbB3d70b","chainId":100}	"100"
{"address":"0x07c896050dD6E273c199f06d7516F8A4A369d23A","chainId":100}	"100"
{"address":"0xFEdb19Ec000d38d92Af4B21436870F115db22725","chainId":100}	"1001"
{"address":"0xE051605A83dEAe38d26a7346B100EF1AC2ef8a0b","chainId":100}	\N
{"address":"0xB973Ca96a3f0D61045f53255E319AEDb6ED49240","chainId":100}	\N
{"address":"0xF48f01DCB2CbB3ee1f6AaB0e742c2D3941039d56","chainId":100}	\N
{"address":"0x66F33Ae36dD80327744207a48122F874634B3adA","chainId":100}	\N
{"address":"0x7F6E9d6a4093Af9d09bAE92d24bfE42Fc5369aE6","chainId":8453}	"100"
{"address":"0x6FbFcf88DB1aADA31F34215b2a1Df7fafb4883e9","chainId":8453}	"5000"
{"address":"0x2e756DB1C5370874BEf3e012d3606e6E0e685F5a","chainId":8453}	"200"
{"address":"0xc561540C16d49D0bFc69c99F9fc66145b1D5DDbd","chainId":8453}	"5000"
{"address":"0xE58cA65f418D4121d6C70d4C133E60cf6fDa363C","chainId":8453}	"5000"
{"address":"0xEa4643102dFC03d5e382e7827Bf767f6587E9965","chainId":43114}	"100"
{"address":"0x9FD66B741ac546055E04E768Dd52edD33574D453","chainId":43114}	"100"
{"address":"0xa1D14d922a575232066520EDA11E27760946c991","chainId":43114}	"4000"
{"address":"0xA154009870E9B6431305F19b09F9cfD7284d4E7A","chainId":43114}	"1500"
{"address":"0xEcE571847897fD61E764D455DC15cf1cD9dE8d6F","chainId":43114}	"1500"
{"address":"0x054E7B0c73E1eE5AED6864Fa511658FC2b54BcaA","chainId":43114}	"1500"
{"address":"0x670734D704EB7EF424d75321670F921fBF42E9CF","chainId":43114}	"1500"
{"address":"0x9Be7dE742865d021c0E8Fb9D64311b2c040c1ec1","chainId":42161}	"1000"
{"address":"0x1533A3278f3F9141d5F820A184EA4B017fce2382","chainId":42161}	"1000"
{"address":"0x386b5d43BA8b97c43d4AfB4cDaE7877a1B295E8a","chainId":42161}	"600"
{"address":"0xaF5E0B5425dE1F5a630A8cB5AA9D97B8141C908D","chainId":10}	\N
{"address":"0xC17636e36398602dd37Bb5d1B3a9008c7629005f","chainId":10}	\N
{"address":"0xf6D037883cc52cAD1A8238064B3041c754a0Baa9","chainId":10}	\N
{"address":"0x06Df3b2bbB68adc8B0e302443692037ED9f91b42","chainId":137}	"60"
{"address":"0x77EE88D816E35826E7955c462Be33e8C5330aEd1","chainId":10}	\N
{"address":"0x0510cCF9eB3AB03C1508d3b9769E8Ee2CFd6FDcF","chainId":42161}	"50"
{"address":"0xFeadd389a5c427952D8fdb8057D6C8ba1156cC56","chainId":137}	"500"
{"address":"0x9F19a375709BAF0E8e35C2c5c65aca676c4C7191","chainId":137}	"10"
{"address":"0xC330e17D4740049FABD2f2aFB39aaaCaB44DF535","chainId":10}	\N
{"address":"0x5A5884FC31948D59DF2aEcCCa143dE900d49e1a3","chainId":42161}	"100"
{"address":"0xF6CA5dB5F1b2A0764bd7609787ba6928EcDa1c17","chainId":10}	\N
{"address":"0x34A81e8956BF20b7448b31990A2c06F96830a6e4","chainId":10}	\N
{"address":"0x3dC09DB8E571Da76Dd04E9176afc7fEEe0b89106","chainId":10}	"500"
{"address":"0x9817e42134245E4b77487387c264834F70fFb6B5","chainId":10}	\N
{"address":"0x8c2062eC8D477366C749982E3703371a7aE1E665","chainId":8453}	"50"
{"address":"0x373643B17Cd80e37675c8C98eF774efe6ca0b4De","chainId":10}	"2000"
{"address":"0xC771c1a5905420DAEc317b154EB13e4198BA97D0","chainId":8453}	"500"
{"address":"0xFb4C2E6E6e27B5b4a07a36360C89EDE29bB3c9B6","chainId":8453}	"5000"
{"address":"0x358461B2a3A239E97325D03A57bE40464b8b7EBC","chainId":10}	\N
{"address":"0xD9C57025b3da04e5Bd078C22B69222E92dDb62f6","chainId":10}	\N
{"address":"0x0495e8d283C08a3Bf6c3163A72763797a06c56d8","chainId":10}	\N
{"address":"0x06Df3b2bbB68adc8B0e302443692037ED9f91b42","chainId":1}	"1390"
{"address":"0xFeadd389a5c427952D8fdb8057D6C8ba1156cC56","chainId":1}	"605"
{"address":"0x9F19a375709BAF0E8e35C2c5c65aca676c4C7191","chainId":1}	"200"
{"address":"0xAc830eC0EAA492f13498BD309bfE8303A9f57DA0","chainId":42161}	"200"
{"address":"0xCAffc904684771C9841E0B60e7C52566D4BAa4A8","chainId":42161}	"200"
{"address":"0xD89746AFfa5483627a87E55713Ec190511439495","chainId":42161}	"200"
{"address":"0x5ac311fB06c3Bd30c87b4e13C079D17C94325ddD","chainId":42161}	"20"
{"address":"0x39835081d33C8DA6762aB29bc00AAaFfD31E6654","chainId":10}	\N
{"address":"0x75C6B245515657Fd69f1645C051A2ba13a8D70c6","chainId":10}	\N
{"address":"0x40dBe796EAE37e371Cf0217A6dbB946CDAF9F1b7","chainId":10}	\N
{"address":"0xCC98357EaF3E227BDEf6b97780aAe84BEa9B02B0","chainId":42161}	"1472"
{"address":"0xEd420D58D6eFA85d63926966CD1eC9ebA4e57b11","chainId":42161}	"100"
{"address":"0x7bceaa9c5E7f4836Fec3bCe2d5346637c9B13970","chainId":42161}	"100"
{"address":"0x6641A8c1d33bd3deC8DD85E69C63CAFb5bf36388","chainId":137}	"60"
{"address":"0x0C659734f1eEF9C63B7Ebdf78a164CDd745586Db","chainId":8453}	"5000"
{"address":"0xFB5e6d0c1DfeD2BA000fBC040Ab8DF3615AC329c","chainId":42161}	"200"
{"address":"0xF38cF113D2D4f60c36CBD95af2f48A9a0167045a","chainId":137}	"60"
{"address":"0x32296969Ef14EB0c6d29669C550D4a0449130230","chainId":1}	"50"
{"address":"0x58F2110B61F97fD6B9200b038d92f17c722A5A33","chainId":8453}	"5000"
{"address":"0x0d34e5dD4D8f043557145598E4e2dC286B35FD4f","chainId":137}	"600"
{"address":"0x4Fd63966879300caFafBB35D157dC5229278Ed23","chainId":10}	"50"
{"address":"0x9949f1884B61A8265E12056650c1AC4677a75403","chainId":100}	"200"
{"address":"0xfbc3112172bA256454047D7436d1E08B3cdc5031","chainId":100}	\N
{"address":"0x85BcD9f8e69090ca516d5b418D9C821f4e91eCae","chainId":100}	\N
{"address":"0x5028497af0c9a54ea8C6D42a054c0341B9fc6168","chainId":137}	"100"
{"address":"0x6474ADD3d442025bbB2ef3409c226032893961C5","chainId":100}	\N
{"address":"0x4bcf6b48906fA0f68bEa1FC255869A41241d4851","chainId":100}	\N
{"address":"0x9964b1bD3CC530E5c58BA564e45d45290F677BE2","chainId":10}	"500"
{"address":"0x62DE5ca16A618E22F6dfE5315EbD31aCB10c44b6","chainId":10}	"500"
{"address":"0x593aCBFB1EaF3B6ec86fa60325D816996fDcbc0d","chainId":10}	"500"
{"address":"0xf572649606db4743D217A2fA6E8b8eb79742C24A","chainId":10}	"500"
{"address":"0x30722f57D56037CAA2C38ABD1F5E2955814875e9","chainId":8453}	"5000"
{"address":"0x6222ae1d2a9f6894dA50aA25Cb7b303497f9BEbd","chainId":10}	"2000"
{"address":"0x479A7d1fcDD71ce0C2ED3184bfbe9d23B92E8337","chainId":10}	"400"
{"address":"0x1F131EC1175f023ee1534B16FA8aB237c00e2381","chainId":10}	"400"
{"address":"0x36bf227d6BaC96e2aB1EbB5492ECec69C691943f","chainId":42161}	"50"
{"address":"0x4Fd63966879300caFafBB35D157dC5229278Ed23","chainId":1}	"100"
{"address":"0x0C316e55f987Ef2d467F18852301492bcA7E8a69","chainId":8453}	"5000"
{"address":"0x1C44a0d39C493d0cAbA89465B930c48687FdE507","chainId":10}	\N
{"address":"0x864f76EabE542b0a83D09257AfaD59aD6f4eEdC3","chainId":100}	\N
{"address":"0x11467c3BEea894d9e8618d80b9a006C9BAa9344c","chainId":100}	\N
{"address":"0x0a24F8A142FEC1C3da01398d2F4DDa168443A915","chainId":100}	\N
{"address":"0xf3678A0b54C61ccD88Ce321c2e07f87aC75F08B9","chainId":100}	"100"
{"address":"0x35da2486F66a8B2DC305Abf4a51dF118c9984478","chainId":100}	\N
{"address":"0xfa0017abd72BB87443c3F39b9434d357Cc1EeC27","chainId":100}	\N
{"address":"0x21d4c792Ea7E38e0D0819c2011A2b1Cb7252Bd99","chainId":100}	\N
{"address":"0x026e352458409dB7113CDa942149C1E19693AC80","chainId":100}	\N
{"address":"0xB0F2C34b9CD5C377C5EfbBA3B31E67114810Cbc8","chainId":10}	"100"
{"address":"0x52D476C0417c0455B93dDe22E8b2fbC6C19EE680","chainId":10}	\N
{"address":"0x2A67663642d083DEBCa989b6E169c5e21c16A96A","chainId":10}	\N
{"address":"0xde45F101250f2ca1c0f8adFC172576d10c12072D","chainId":10}	"100"
{"address":"0x2b2DA14C95B6DD31851Bd2993CD11BdDBE5510F6","chainId":42161}	"50"
{"address":"0x7B50775383d3D6f0215A8F290f2C9e2eEBBEceb2","chainId":1}	"1472"
{"address":"0x1E19CF2D73a72Ef1332C882F20534B6519Be0276","chainId":1}	"50"
{"address":"0x15D9D108437B17d1FA70392f9eD086306229ec91","chainId":8453}	"500"
{"address":"0x231B05F3a92d578EFf772f2Ddf6DacFFB3609749","chainId":42161}	"100"
{"address":"0x077794c30AFECcdF5ad2Abc0588E8CEE7197b71a","chainId":42161}	"1001"
{"address":"0xA611A551b95b205ccD9490657aCf7899daee5DB7","chainId":100}	"11"
{"address":"0x70Ba7DC356B41c849e74c679932c852CC0331a90","chainId":42161}	"60"
{"address":"0x7d6Bff131B359dA66d92f215FD4e186003BFAA42","chainId":10}	"570"
{"address":"0xfD2620C9cfceC7D152467633B3B0Ca338D3d78cc","chainId":43114}	"3000"
{"address":"0xC13546b97B9B1b15372368Dc06529d7191081F5B","chainId":43114}	"3000"
{"address":"0xB26f0e66317846Bd5fE0cBAa1d269f0efEb05c96","chainId":43114}	"5000"
{"address":"0x9fA6aB3d78984A69e712730A2227F20bCC8b5aD9","chainId":43114}	"5000"
{"address":"0x5C78d05b8ECF97507d1cf70646082c54FaA4dA95","chainId":100}	"100"
{"address":"0xa3ED6F78Edc29f69Df8a0d16b1D1CCf9871F918c","chainId":100}	"200"
{"address":"0xbAd20c15A773bf03ab973302F61FAbceA5101f0A","chainId":100}	"2000"
{"address":"0x7Ef99013E446dDCe2486b8E04735b7019a115e6F","chainId":137}	"50"
{"address":"0xd6E5824b54f64CE6f1161210bc17eeBfFC77E031","chainId":137}	"50"
{"address":"0x76f20DE6f13523D3870e93bd37A2028d13666833","chainId":137}	"50"
{"address":"0x61D8c210AADCf9FE432f16a8a33Ca92931521565","chainId":137}	"50"
{"address":"0xaF5E0B5425dE1F5a630A8cB5AA9D97B8141C908D","chainId":137}	"50"
{"address":"0x519cCe718FCD11AC09194CFf4517F12D263BE067","chainId":42161}	"286"
{"address":"0xE051605A83dEAe38d26a7346B100EF1AC2ef8a0b","chainId":137}	"570"
{"address":"0x03FE5124A9F1c4e4fbbB02743e1B653a70CFACC5","chainId":10}	\N
{"address":"0xB4670d1389C758E4380c4211BcBC85342688B9c5","chainId":137}	"100"
{"address":"0x1E5373eCEcb55Fb16902aC0b4573B27E6fdDC20D","chainId":10}	\N
{"address":"0xB973Ca96a3f0D61045f53255E319AEDb6ED49240","chainId":137}	"570"
{"address":"0xF48f01DCB2CbB3ee1f6AaB0e742c2D3941039d56","chainId":137}	"570"
{"address":"0x6Aa098a327b8001A24713F6970980D70f2fbDaEa","chainId":137}	"100"
{"address":"0xc31A37105B94aB4eFCA1954A14f059Af11FCD9BB","chainId":137}	"50"
{"address":"0xFF7e6B102516e071dcDA763EE9D02c1515481db5","chainId":42161}	"100"
{"address":"0x5b0C1b84566708Dd391Ae0FecE1a32e33682EE3d","chainId":42161}	"5000"
{"address":"0xd4856576651bed0421F6f5b8eDE8485Ea57a8b42","chainId":137}	"500"
{"address":"0x32C471dD7ED2df5D62C6fc498fe6293fbfd66597","chainId":137}	"500"
{"address":"0xC17636e36398602dd37Bb5d1B3a9008c7629005f","chainId":137}	"50"
{"address":"0xc951F2dAf89006069a0fe8fE200849BeAC16C98C","chainId":42161}	"100"
{"address":"0xCba9Ff45cfB9cE238AfDE32b0148Eb82CbE63562","chainId":42161}	"600"
{"address":"0xa359b6BB0a89ED9f237C83f32fF05c658DA8b3aB","chainId":100}	"100"
{"address":"0x49A0e3334496442A9706E481617724e7E37EAA08","chainId":42161}	"50"
{"address":"0x5A7f39435fD9c381e4932fa2047C9a5136A5E3E7","chainId":42161}	"1000"
{"address":"0x14bcd5eb0E3139C1FD2Fb4B6Bc2Ab836eAaD9bCf","chainId":10}	\N
{"address":"0xEE02583596AEE94ccCB7e8ccd3921d955f17982A","chainId":42161}	"2000"
{"address":"0xB95829AdbaCd8Af89E291DeE78Bc09E24De51d6b","chainId":100}	"2000"
{"address":"0xe15CaC1DF3621e001f76210Ab12A7f1A1691481f","chainId":100}	"2000"
{"address":"0xA20043EFfCC2c964d60E4D6B1Ce259894997aD70","chainId":42161}	"40"
{"address":"0xD997f35c9b1281B82C8928039D14CdDaB5e13c20","chainId":1}	"500"
{"address":"0x96a78983932B8739D1117b16d30C15607926b0c5","chainId":10}	"570"
{"address":"0xb1C9aC57594e9B1EC0f3787D9f6744EF4CB0A024","chainId":10}	"1000"
{"address":"0xD9a6efB07Ff8Cc69bcB20a0C2229486e949C2270","chainId":137}	"500"
{"address":"0x851523A36690bF267BbFEC389C823072D82921a9","chainId":1}	"1000"
{"address":"0xB4B22BD6CDAD0ab828bE6f8A4086dFA54E9b3736","chainId":137}	"500"
{"address":"0x2492b06d0C980c5a480c72C20e6791eB27E92b24","chainId":137}	"500"
{"address":"0x2086f52651837600180dE173B09470F54EF74910","chainId":100}	"1500"
{"address":"0x0C1B9CE6Bf6C01f587C2ee98b0ef4B20C6648753","chainId":100}	"20"
{"address":"0xB797AdfB7b268faeaA90CAdBfEd464C76ee599Cd","chainId":137}	"500"
{"address":"0x542F16DA0efB162D20bF4358EfA095B70A100f9E","chainId":42161}	"500"
{"address":"0x6641A8c1d33bd3deC8DD85E69C63CAFb5bf36388","chainId":1}	"25"
{"address":"0x9F40f06Ea32304Dc777eCC661609Fb6B0C5daf4A","chainId":1}	"100"
{"address":"0x121b0DfC48444C4d10caddeD9885D90E7453E878","chainId":43114}	"500"
{"address":"0xD7621e87FeA8771e91b7ba75882c21C71A6a24aC","chainId":42161}	"200"
