id	output
{"address":"0x8A819a4caBD6EfCb4E5504fE8679A1aBD831Dd8f","chainId":100}	\N
{"address":"0x0503Dd6b2D3Dd463c9BeF67fB5156870Af63393E","chainId":100}	\N
{"address":"0x11884dA90FB4221b3aa288a7741C51eC4Fc43B2f","chainId":100}	\N
{"address":"0xa94A92fC2cA0601481d5DE357489ceaEBa1C1Dc6","chainId":100}	\N
{"address":"0xBEa652AA29D38114e9D36F2A2E4167b13DF68e73","chainId":100}	\N
{"address":"0x581Ec1f5e7CeD12B186deaE32256AdB53BDd5B08","chainId":100}	{"mainIndex": 2, "lowerTarget": "0", "upperTarget": "0", "wrappedIndex": 1}
{"address":"0x225E0047671939A8d78e08EBd692788Abe63f15c","chainId":100}	{"mainIndex": 2, "lowerTarget": "0", "upperTarget": "0", "wrappedIndex": 1}
{"address":"0xE7f88d7d4EF2eb18FCF9Dd7216BA7Da1c46f3dD6","chainId":100}	{"mainIndex": 2, "lowerTarget": "100000000000000000000000", "upperTarget": "300000000000000000000000", "wrappedIndex": 1}
{"address":"0x41211BBa6d37F5a74b22e667533F080C7C7f3F13","chainId":100}	{"mainIndex": 2, "lowerTarget": "100000000000000000000000", "upperTarget": "300000000000000000000000", "wrappedIndex": 1}
{"address":"0xFFFf76A3280e95dC855696111C2562Da09db2Ac0","chainId":100}	{"mainIndex": 1, "lowerTarget": "2000000000000000000000", "upperTarget": "8000000000000000000000", "wrappedIndex": 2}
{"address":"0xd4015683b8153666190e0B2bEC352580EBC4CaCa","chainId":100}	{"mainIndex": 2, "lowerTarget": "1000000000000000000", "upperTarget": "3000000000000000000", "wrappedIndex": 1}
{"address":"0xbb9Cd48d33033F5EfFBeDec9Dd700C7D7E1dCF50","chainId":100}	{"mainIndex": 2, "lowerTarget": "100000000000000000000", "upperTarget": "500000000000000000000", "wrappedIndex": 1}
{"address":"0xd16f72b02dA5f51231fDe542A8B9E2777a478c88","chainId":100}	{"mainIndex": 2, "lowerTarget": "100000000000000000000000", "upperTarget": "200000000000000000000000", "wrappedIndex": 1}
{"address":"0xA826a114B0c7dB4d1FF4a4BE845a78998c64564C","chainId":43114}	{"mainIndex": 1, "lowerTarget": "0", "upperTarget": "0", "wrappedIndex": 2}
{"address":"0xEd3E2F496cbCd8e212192fb8D1499842f04A0D19","chainId":43114}	{"mainIndex": 2, "lowerTarget": "0", "upperTarget": "0", "wrappedIndex": 1}
{"address":"0xEb496161099D45B3ea4892408ef745c6182eB56e","chainId":43114}	{"mainIndex": 1, "lowerTarget": "0", "upperTarget": "1000000000000000000000000", "wrappedIndex": 2}
{"address":"0xeA67626E1f0b59e0d172a04F5702ef90BcdF440C","chainId":43114}	{"mainIndex": 2, "lowerTarget": "0", "upperTarget": "1000000000000000000000000", "wrappedIndex": 1}
{"address":"0x7275c131b1F67e8B53b4691F92B0E35A4c1C6e22","chainId":43114}	{"mainIndex": 2, "lowerTarget": "0", "upperTarget": "1000000000000000000000000", "wrappedIndex": 1}
{"address":"0x9BF7c3b63c77b4B4F2717776F15A4bec1b532a28","chainId":42161}	{"mainIndex": 2, "lowerTarget": "0", "upperTarget": "20000000000000000000000000", "wrappedIndex": 0}
{"address":"0x23Ca0306B21ea71552B148cf3c4db4Fc85AE1929","chainId":42161}	{"mainIndex": 2, "lowerTarget": "0", "upperTarget": "20000000000000000000000000", "wrappedIndex": 1}
{"address":"0x3dd0843A028C86e0b760b1A76929d1C5Ef93a2dd","chainId":42161}	\N
{"address":"0x2d011aDf89f0576C9B722c28269FcB5D50C2d179","chainId":42161}	\N
{"address":"0x178E029173417b1F9C8bC16DCeC6f697bC323746","chainId":42161}	\N
{"address":"0x13F2f70A951FB99d48ede6E25B0bdF06914db33F","chainId":42161}	\N
{"address":"0x5D8955a2068EE6d1F7aB17640301219afa4B526f","chainId":10}	{"mainIndex": 1, "lowerTarget": "0", "upperTarget": "1000000000000000000000000", "wrappedIndex": 2}
{"address":"0xF93579002DBE8046c43FEfE86ec78b1112247BB8","chainId":42161}	\N
{"address":"0xa612B6AeD2E7ca1A3a4f23FbcA9128461bBB7718","chainId":42161}	{"mainIndex": 2, "lowerTarget": "0", "upperTarget": "0", "wrappedIndex": 1}
{"address":"0x1AC55C31DaC78ca943CB8ebfCa5945ce09e036e2","chainId":100}	{"mainIndex": 2, "lowerTarget": "0", "upperTarget": "0", "wrappedIndex": 1}
{"address":"0xA3823e50f20982656557A4A6a9C06Ba5467aE908","chainId":1}	{"mainIndex": 1, "lowerTarget": "0", "upperTarget": "1000000000000000000000000", "wrappedIndex": 0}
{"address":"0x652D486B80C461C397B0d95612A404da936f3db3","chainId":1}	{"mainIndex": 1, "lowerTarget": "0", "upperTarget": "2100000000000000000000000", "wrappedIndex": 2}
{"address":"0xe6bCC79f328eec93D4Ec8F7ED35534d9AB549faA","chainId":1}	{"mainIndex": 0, "lowerTarget": "0", "upperTarget": "1000000000000000000000000", "wrappedIndex": 2}
{"address":"0x804CdB9116a10bB78768D3252355a1b18067bF8f","chainId":1}	{"mainIndex": 1, "lowerTarget": "2900000000000000000000000", "upperTarget": "10000000000000000000000000", "wrappedIndex": 0}
{"address":"0x9210F1204b5a24742Eba12f710636D76240dF3d0","chainId":1}	{"mainIndex": 1, "lowerTarget": "2900000000000000000000000", "upperTarget": "10000000000000000000000000", "wrappedIndex": 2}
{"address":"0x2BBf681cC4eb09218BEe85EA2a5d3D13Fa40fC0C","chainId":1}	{"mainIndex": 1, "lowerTarget": "2900000000000000000000000", "upperTarget": "10000000000000000000000000", "wrappedIndex": 2}
{"address":"0x88D07558470484c03d3bb44c3ECc36CAfCF43253","chainId":10}	{"mainIndex": 0, "lowerTarget": "100000000000000000000000", "upperTarget": "200000000000000000000000", "wrappedIndex": 2}
{"address":"0xFBf87D2C22d1d298298ab5b0Ec957583a2731d15","chainId":10}	{"mainIndex": 1, "lowerTarget": "0", "upperTarget": "300000000000000000000000", "wrappedIndex": 0}
{"address":"0xf984eb2B8a7eF780245a797A2fCcd82f346409ca","chainId":42161}	{"mainIndex": 2, "lowerTarget": "0", "upperTarget": "0", "wrappedIndex": 1}
{"address":"0xe1Fb90D0d3b47E551d494d7eBe8f209753526B01","chainId":42161}	{"mainIndex": 2, "lowerTarget": "0", "upperTarget": "30000000000000000000000", "wrappedIndex": 1}
{"address":"0x894c82800526E0391E709c0983a5AeA3718b7F6D","chainId":42161}	{"mainIndex": 2, "lowerTarget": "100000000000000000000000", "upperTarget": "500000000000000000000000", "wrappedIndex": 1}
{"address":"0x5BAe72B75CaAb1f260D21BC028c630140607D6e8","chainId":42161}	{"mainIndex": 2, "lowerTarget": "0", "upperTarget": "50000000000000000000000", "wrappedIndex": 1}
{"address":"0xAeF2c171dBE64B0C18977E16e70BFD29d4eE0256","chainId":42161}	{"mainIndex": 2, "lowerTarget": "0", "upperTarget": "20000000000000000000000000", "wrappedIndex": 1}
{"address":"0x11884dA90FB4221b3aa288a7741C51eC4Fc43B2f","chainId":42161}	{"mainIndex": 1, "lowerTarget": "0", "upperTarget": "0", "wrappedIndex": 2}
{"address":"0x284EB68520C8fA83361C1A3a5910aEC7f873C18b","chainId":42161}	{"mainIndex": 2, "lowerTarget": "0", "upperTarget": "50000000000000000000000", "wrappedIndex": 1}
{"address":"0x117a3d474976274B37B7b94aF5DcAde5c90C6e85","chainId":42161}	{"mainIndex": 2, "lowerTarget": "0", "upperTarget": "50000000000000000000000", "wrappedIndex": 1}
{"address":"0xae646817e458C0bE890b81e8d880206710E3c44e","chainId":42161}	{"mainIndex": 2, "lowerTarget": "0", "upperTarget": "1000000000000000000", "wrappedIndex": 1}
{"address":"0x1aAFc31091d93C3Ff003Cff5D2d8f7bA2e728425","chainId":137}	{"mainIndex": 1, "lowerTarget": "0", "upperTarget": "200000000000000000000000", "wrappedIndex": 2}
{"address":"0xCB21A9E647C95127ED784626485B3104Cb28d0e7","chainId":137}	{"mainIndex": 0, "lowerTarget": "0", "upperTarget": "200000000000000000000000", "wrappedIndex": 1}
{"address":"0xB878eCCe26838Fbba4F78Cb5B791A0e09152C067","chainId":137}	{"mainIndex": 0, "lowerTarget": "0", "upperTarget": "200000000000000000000000", "wrappedIndex": 1}
{"address":"0x6933ec1CA55C06a894107860c92aCdFd2Dd8512f","chainId":137}	{"mainIndex": 0, "lowerTarget": "0", "upperTarget": "200000000000000000000000", "wrappedIndex": 1}
{"address":"0x8A819a4caBD6EfCb4E5504fE8679A1aBD831Dd8f","chainId":137}	{"mainIndex": 2, "lowerTarget": "0", "upperTarget": "200000000000000000000000", "wrappedIndex": 0}
{"address":"0x0503Dd6b2D3Dd463c9BeF67fB5156870Af63393E","chainId":137}	{"mainIndex": 1, "lowerTarget": "0", "upperTarget": "200000000000000000000000", "wrappedIndex": 2}
{"address":"0xDa1CD1711743e57Dd57102E9e61b75f3587703da","chainId":42161}	{"mainIndex": 2, "lowerTarget": "0", "upperTarget": "2000000000000000000000", "wrappedIndex": 1}
{"address":"0x7c82A23B4C48D796dee36A9cA215b641C6a8709d","chainId":42161}	{"mainIndex": 2, "lowerTarget": "0", "upperTarget": "111000000000000000000000", "wrappedIndex": 1}
