id	output
{"address":"0xb286b923A4Ed32eF1Eae425e2b2753F07A517708","chainId":42161}	"0x0000000000000000000000000000000000000000"
{"address":"0xcC65A812ce382aB909a11E434dbf75B34f1cc59D","chainId":42161}	"0x6207ed574152496c9B072C24FD87cE9cd9E17320"
{"address":"0x64541216bAFFFEec8ea535BB71Fbc927831d0595","chainId":42161}	"0x6207ed574152496c9B072C24FD87cE9cd9E17320"
{"address":"0xC720d790Dc6062a7f19501Dc8aBbFb3041C52eA6","chainId":42161}	"0x6207ed574152496c9B072C24FD87cE9cd9E17320"
{"address":"0x53c7940728EF895069A4F5A6B30E60c6652C910c","chainId":42161}	"0x6207ed574152496c9B072C24FD87cE9cd9E17320"
{"address":"0x0c2B3E31639bbC8c7eE3F1dCf86aDBE658377e50","chainId":42161}	"0x6207ed574152496c9B072C24FD87cE9cd9E17320"
{"address":"0x651e00FfD5eCfA7F3d4F33d62eDe0a97Cf62EdE2","chainId":42161}	"0x6207ed574152496c9B072C24FD87cE9cd9E17320"
{"address":"0xD2C1BFE1C24b3AB2590325e91e3dE28359e68158","chainId":42161}	"0x6207ed574152496c9B072C24FD87cE9cd9E17320"
{"address":"0x4a3a22A3e7fee0FfBB66f1C28BfAC50f75546Fc7","chainId":42161}	"0x6207ed574152496c9B072C24FD87cE9cd9E17320"
{"address":"0xbea626026794c6C09971316679Ac5D6922ADFE6a","chainId":42161}	"0x6207ed574152496c9B072C24FD87cE9cd9E17320"
{"address":"0xd3DE2b06Af1A19B9e4cF2fC7Fd54f7eD378FEd4f","chainId":42161}	"0x6207ed574152496c9B072C24FD87cE9cd9E17320"
{"address":"0xf13DF9563dc9268A773ad852fFF80f5e913EBAF6","chainId":42161}	"0x6207ed574152496c9B072C24FD87cE9cd9E17320"
{"address":"0x96A6AD4531b853D874Ab7507fA1203DDCf104771","chainId":42161}	"0x6207ed574152496c9B072C24FD87cE9cd9E17320"
{"address":"0xc736821A9CB04561417da3dD4e19Ba1e0436B38c","chainId":42161}	"0x6207ed574152496c9B072C24FD87cE9cd9E17320"
{"address":"0xA6625F741400f90D31e39a17B0D429a92e347A60","chainId":42161}	"0x6207ed574152496c9B072C24FD87cE9cd9E17320"
{"address":"0x8CEA55571c2F0AE6B215aAad8a5dff4d9e29DD2F","chainId":42161}	"0x6207ed574152496c9B072C24FD87cE9cd9E17320"
{"address":"0xB5B77F1AD2B520df01612399258E7787aF63025D","chainId":42161}	"0x25c646AdF184051B35A405B9aaEBA321E8d5342a"
{"address":"0x7aD4f5536D903aea6F973f36e18f5B4610A7583E","chainId":10}	"0x0000000000000000000000000000000000000000"
{"address":"0xDCd803c0Ad8778662C0A53b4dAED81aB9EF06834","chainId":10}	"0x0000000000000000000000000000000000000000"
{"address":"0x6F998fefA9c3fd5c81B5A9966e88986F21765c82","chainId":10}	"0x0000000000000000000000000000000000000000"
{"address":"0x39965c9dAb5448482Cf7e002F583c812Ceb53046","chainId":10}	"0xd9e2889AC8C6fFF8e94c7c1bEEAde1352dF1A513"
{"address":"0x5028497af0c9a54ea8C6D42a054c0341B9fc6168","chainId":10}	"0xd9e2889AC8C6fFF8e94c7c1bEEAde1352dF1A513"
{"address":"0x7Ef99013E446dDCe2486b8E04735b7019a115e6F","chainId":10}	"0xd9e2889AC8C6fFF8e94c7c1bEEAde1352dF1A513"
{"address":"0xd6E5824b54f64CE6f1161210bc17eeBfFC77E031","chainId":10}	"0xd9e2889AC8C6fFF8e94c7c1bEEAde1352dF1A513"
{"address":"0xBCCd9d4B953AdA653b7C464665d7263E5e078A98","chainId":10}	"0xd9e2889AC8C6fFF8e94c7c1bEEAde1352dF1A513"
{"address":"0x32F0DC9E2D890BAC95106a65eB82db70Bc58BaDB","chainId":10}	"0xd9e2889AC8C6fFF8e94c7c1bEEAde1352dF1A513"
{"address":"0x76f20DE6f13523D3870e93bd37A2028d13666833","chainId":10}	"0xd9e2889AC8C6fFF8e94c7c1bEEAde1352dF1A513"
{"address":"0x61D8c210AADCf9FE432f16a8a33Ca92931521565","chainId":10}	"0xd9e2889AC8C6fFF8e94c7c1bEEAde1352dF1A513"
{"address":"0x6a06E2a5cb13fcd54b28F3f90144e64952a3A0b4","chainId":10}	"0xd9e2889AC8C6fFF8e94c7c1bEEAde1352dF1A513"
{"address":"0xF1b3256505159F6004Da0B16E985EE46e6FfEeA8","chainId":10}	"0xd9e2889AC8C6fFF8e94c7c1bEEAde1352dF1A513"
{"address":"0x61d5dc44849c9C87b0856a2a311536205C96c7FD","chainId":1}	"0x0000000000000000000000000000000000000000"
{"address":"0x647c1FD457b95b75D0972fF08FE01d7D7bda05dF","chainId":1}	"0xBA1BA1ba1BA1bA1bA1Ba1BA1ba1BA1bA1ba1ba1B"
{"address":"0x0297e37f1873D2DAb4487Aa67cD56B58E2F27875","chainId":1}	"0xE4a8ed6c1D8d048bD29A00946BFcf2DB10E7923B"
{"address":"0xC6A5032dC4bF638e15b4a66BC718ba7bA474FF73","chainId":1}	"0x0000000000000000000000000000000000000000"
